,id,err_log,ce_std,treat,tprofit_endline,tinventory_endline,keeps_some_records_endline,marketing_endline,age,businessage,bankaccount,credit,employees,employeesnumber,loan,gender,profit,secondaryedu,account,marketing
126,3175.0,0.41831017,0.5865421,1.0,4200.0,8000.0,1.0,1.0,45,10,1,1,1,1,0,1,15000.0,1.0,0.0,0.0
127,3086.0,0.42936707,0.60269576,1.0,1500.0,3500.0,1.0,0.0,44,8,0,1,0,0,1,1,12000.0,0.0,1.0,0.0
128,2919.0,0.4315338,0.6058613,1.0,3000.0,15000.0,1.0,1.0,52,27,1,1,1,1,1,1,15000.0,1.0,0.0,0.0
129,745.0,0.43318653,0.60827583,1.0,10000.0,26000.0,1.0,0.0,37,6,0,1,0,0,0,1,20000.0,0.0,0.0,0.0
130,2959.0,0.45888138,0.64581496,1.0,3000.0,9000.0,1.0,0.0,48,20,0,0,0,0,1,1,15000.0,1.0,0.0,0.0
131,1215.0,0.48284817,0.6808294,1.0,4200.0,35000.0,1.0,1.0,45,9,0,0,0,0,0,1,16000.0,0.0,1.0,0.0
132,2762.0,0.49434566,0.69762677,1.0,1200.0,3000.0,1.0,0.0,38,21,1,1,1,1,1,1,18000.0,0.0,0.0,0.0
133,2803.0,0.50883484,0.7187949,1.0,2500.0,,1.0,0.0,50,10,1,0,0,0,0,1,12000.0,0.0,0.0,0.0
134,3021.0,0.5254717,0.74310064,1.0,500.0,700.0,1.0,0.0,36,10,0,0,0,0,0,1,15000.0,0.0,0.0,0.0
135,2629.0,0.53603363,0.7585312,1.0,2500.0,5000.0,1.0,0.0,45,16,0,1,0,0,0,1,19600.0,0.0,0.0,0.0
136,2274.0,0.54211235,0.76741195,1.0,3000.0,4500.0,1.0,0.0,41,8,1,1,0,0,1,1,18000.0,0.0,0.0,0.0
137,1561.0,0.54445744,0.770838,1.0,,,0.0,0.0,55,10,1,1,0,0,0,1,15000.0,1.0,0.0,0.0
138,2456.0,0.57784367,0.81961393,1.0,1000.0,5000.0,1.0,0.0,58,10,0,1,1,1,0,1,15000.0,1.0,0.0,0.0
139,2378.0,0.5835724,0.8279834,1.0,7000.0,13000.0,1.0,0.0,47,8,1,0,1,4,1,1,20000.0,1.0,0.0,0.0
140,216.0,0.61444855,0.8730921,1.0,3000.0,15000.0,0.0,0.0,46,25,0,0,0,0,0,1,18000.0,0.0,0.0,0.0
141,3154.0,0.6541643,0.9311152,1.0,2100.0,500.0,0.0,0.0,49,10,1,0,0,0,1,1,18000.0,1.0,0.0,0.0
142,2384.0,0.6688986,0.95264137,1.0,12000.0,12000.0,1.0,0.0,48,10,1,1,1,15,1,1,20000.0,1.0,1.0,0.0
143,2541.0,0.706316,1.0073067,1.0,800.0,3000.0,1.0,0.0,48,10,1,1,0,0,1,1,15000.0,1.0,0.0,0.0
144,1166.0,0.74803925,1.0682626,1.0,1000.0,10000.0,1.0,0.0,36,10,1,1,0,0,0,1,24000.0,1.0,0.0,1.0
145,2572.0,0.81315327,1.1633915,1.0,5000.0,15000.0,1.0,0.0,36,10,0,1,1,1,1,1,20000.0,1.0,0.0,0.0
146,2084.0,0.8883133,1.273197,1.0,5000.0,2500.0,1.0,0.0,45,15,0,1,0,0,1,1,24000.0,1.0,0.0,0.0
147,1656.0,0.9021301,1.2933829,1.0,3000.0,10000.0,1.0,0.0,46,15,0,1,0,0,1,1,24000.0,0.0,0.0,0.0
148,2574.0,0.9021301,1.2933829,1.0,15000.0,21000.0,1.0,0.0,46,11,0,1,0,0,0,1,24000.0,1.0,0.0,0.0
149,1511.0,0.9161396,1.3138502,1.0,7000.0,20000.0,1.0,0.0,39,6,0,1,0,0,0,1,27000.0,1.0,1.0,0.0
150,2260.0,0.9281769,1.3314362,1.0,3000.0,6000.0,1.0,0.0,40,16,0,0,0,0,1,1,21000.0,1.0,0.0,0.0
151,2582.0,0.9300766,1.3342116,1.0,4500.0,15000.0,1.0,0.0,76,30,1,0,0,0,0,1,18000.0,0.0,0.0,0.0
152,1424.0,0.95347404,1.3683943,1.0,4000.0,6000.0,1.0,0.0,35,9,0,1,1,1,0,1,30000.0,1.0,0.0,0.0
153,170.0,0.98840714,1.41943,1.0,8500.0,18000.0,1.0,0.0,37,10,1,1,0,0,0,1,30000.0,0.0,0.0,0.0
154,3119.0,1.0022726,1.4396869,1.0,4200.0,7000.0,1.0,0.0,48,20,0,1,1,2,1,1,30000.0,1.0,0.0,0.0
155,2413.0,1.0037489,1.4418437,1.0,3000.0,5000.0,1.0,0.0,36,14,1,1,1,2,0,1,36000.0,1.0,0.0,0.0
156,1464.0,1.0214996,1.4677768,1.0,5500.0,2900.0,1.0,0.0,39,10,0,1,0,0,0,1,30000.0,0.0,0.0,0.0
157,613.0,1.0374155,1.4910293,1.0,6400.0,12000.0,1.0,0.0,40,10,1,0,0,0,1,1,30000.0,1.0,0.0,0.0
158,2468.0,1.0931063,1.572391,1.0,1000.0,3000.0,1.0,0.0,52,15,1,1,0,0,0,1,21000.0,1.0,0.0,0.0
159,3160.0,1.1114569,1.5992006,1.0,7000.0,10000.0,0.0,0.0,45,20,0,1,1,2,0,1,30000.0,0.0,0.0,0.0
160,1604.0,1.1114569,1.5992006,1.0,20000.0,,1.0,0.0,45,15,1,1,0,0,0,1,30000.0,0.0,0.0,0.0
161,2859.0,1.1232443,1.6164215,1.0,12000.0,7320.0,1.0,0.0,50,15,1,1,0,0,1,1,33000.0,1.0,0.0,0.0
162,1369.0,1.1776896,1.6959637,1.0,400.0,1000.0,1.0,0.0,50,24,0,0,1,1,1,1,30000.0,1.0,0.0,0.0
163,3176.0,1.2009096,1.7298872,1.0,2500.0,2000.0,1.0,1.0,35,6,1,1,1,1,1,1,30000.0,1.0,0.0,0.0
164,2851.0,1.2146378,1.7499435,1.0,9000.0,20000.0,0.0,0.0,60,28,1,0,1,4,1,1,30000.0,0.0,1.0,0.0
165,2890.0,1.2205839,1.7586306,1.0,2800.0,6000.0,1.0,0.0,46,6,0,1,0,0,0,1,33000.0,0.0,0.0,0.0
166,766.0,1.2358427,1.780923,1.0,800.0,2000.0,1.0,0.0,37,13,0,1,1,2,1,1,30000.0,1.0,0.0,0.0
167,2899.0,1.2512531,1.803437,1.0,500.0,3000.0,1.0,1.0,54,15,0,0,0,0,1,1,24000.0,1.0,1.0,1.0
168,2340.0,1.325098,1.9113214,1.0,8000.0,20000.0,1.0,0.0,40,6,1,0,1,1,0,1,40000.0,1.0,0.0,0.0
169,2784.0,1.34939,1.946811,1.0,3000.0,20000.0,1.0,0.0,40,8,1,0,0,0,1,1,32000.0,0.0,1.0,0.0
170,3077.0,1.3727093,1.9808794,1.0,2000.0,5000.0,1.0,0.0,46,30,1,1,1,1,1,1,30000.0,0.0,0.0,0.0
171,687.0,1.410636,2.0362887,1.0,,15000.0,1.0,0.0,38,12,0,1,0,0,1,1,45000.0,1.0,0.0,0.0
172,3124.0,1.4230862,2.054478,1.0,10500.0,2500.0,1.0,1.0,39,15,1,1,0,0,1,1,35000.0,1.0,0.0,0.0
173,3011.0,1.4251251,2.0574567,1.0,2500.0,5000.0,1.0,0.0,50,6,1,1,0,0,0,1,30000.0,1.0,0.0,0.0
174,740.0,1.4883432,2.1498158,1.0,1000.0,1500.0,0.0,0.0,43,15,0,1,0,0,0,1,45000.0,1.0,0.0,0.0
175,2524.0,1.6430693,2.375864,1.0,2000.0,5000.0,1.0,0.0,55,22,0,0,0,0,0,1,45000.0,0.0,0.0,0.0
176,2812.0,1.6903162,2.4448898,1.0,1800.0,10000.0,1.0,0.0,40,20,1,0,1,1,1,1,45000.0,0.0,0.0,0.0
177,709.0,1.6992435,2.4579322,1.0,,,1.0,0.0,45,14,1,1,0,0,0,1,54000.0,1.0,0.0,0.0
178,1866.0,1.7209873,2.4896991,1.0,2000.0,,1.0,0.0,42,10,1,1,1,3,0,1,45000.0,1.0,0.0,0.0
