,id,wave,months_since_treat,count,treat,treat2,meet,meet2,tprofits,delta_profits,delta_profits_c,delta_profits_b,trevenue,price,cprice,delta_meet,difficulties,mentorbenefit,discuss,discussever,otherinvest,loanlastyear,marketing,temployeesnumber,I_emp,twagebill,tinventorystock,tweekopen,keeps_some_records,supplierswitch,new_product,z_business_score,z_marketing_score,marketing_score,competitorprice,competitorproduct,sales,upsell,do_advert,z_stock_score,stock_score,supplierhaggle,suppliercompare,stockout,z_record_score,record_score,everysale,consultrecords,budget,class,mentorL,mentorM,mentorH,exit,secondaryedu_M,mentorL_ba,mentorM_ba,mentorH_ba,mentor_hs,mentor_ps,profit_b,tprofits_b,emp_b,emp_b2,I_emp_b,age_b,lage_b,businessage_b,sec0_b,sec1_b,sec2_b,sec3_b,sec4_b,sec0_0,sec0_1,sec0_2,sec0_3,sec0_4,sec0_5,sec0_6,sec0_7,sec0_8,sec0_9,sec0_10,sec1_1,sec1_2,sec1_3,sec1_4,sec1_5,sec1_6,sec2_0,sec2_1,sec2_2,sec2_3,sec2_4,sec2_5,sec2_6,sec2_7,sec3_0,sec3_1,sec3_2,sec3_3,sec3_4,sec3_5,sec3_6,sec3_7,formalaccount_b,credit_b,bankaccount_b,loan_b,secondaryedu_b,advert_b,retail_b,manu_b,serv_b,food_b,keeps_some_records_b,marketing_b
111,546.0,3.0,3.0,7.0,3.0,3.0,,,5000.0,2.8134103,0.96584797,-0.8754692,13000.0,,,,,,,,0.0,,0,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,12000.0,2400.0,0.0,,0.0,32.0,3.465736,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
112,546.0,4.0,4.0,7.0,3.0,3.0,,,900.0,-1.714798,-0.7640419,-2.5902672,2000.0,,,,,,,,0.0,,0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,12000.0,2400.0,0.0,,0.0,32.0,3.465736,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
113,546.0,5.0,7.0,7.0,3.0,3.0,,,1500.0,0.51082563,-0.4856453,-2.0794415,2700.0,650.0,350.0,,1 9 10,,,,0.0,,1,0.0,0.0,0.0,5000.0,36.0,1.0,0.0,0.0,-0.94716376,-0.41210315,1.0,0.0,0.0,0.0,0.0,1.0,-1.1627979,0.0,0.0,0.0,0.0,-0.5284955,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,12000.0,2400.0,0.0,,0.0,32.0,3.465736,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
114,546.0,6.0,12.0,7.0,3.0,3.0,,,2000.0,0.28768206,0.013393879,-1.7917595,4000.0,750.0,350.0,,,,,,0.0,0.0,0,0.0,0.0,0.0,50000.0,60.0,1.0,,0.0,1.3620424,0.40741852,2.0,0.0,0.0,1.0,1.0,0.0,1.2926176,2.0,1.0,1.0,0.0,1.4723244,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,12000.0,2400.0,0.0,,0.0,32.0,3.465736,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
115,546.0,7.0,17.0,7.0,3.0,3.0,,,200.0,-2.3025851,-2.2891788,-4.0943446,1000.0,2000.0,1500.0,,,,,,,,0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,12000.0,2400.0,0.0,,0.0,32.0,3.465736,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
116,560.0,0.0,-2.0,7.0,2.0,2.0,,,1600.0,,-0.18273306,,,,,,2 7 10,,,,,,0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,8000.0,1600.0,0.5,0.5,1.0,30.0,3.4011974,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
117,560.0,1.0,1.0,7.0,2.0,2.0,,,3000.0,0.6286087,0.5486927,-0.98082924,,,,,,,,,0.0,,0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,8000.0,1600.0,0.5,0.5,1.0,30.0,3.4011974,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
118,560.0,2.0,2.0,7.0,2.0,2.0,,,3000.0,0.0,0.696486,-0.98082924,,,,,,,,,0.0,,0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,8000.0,1600.0,0.5,0.5,1.0,30.0,3.4011974,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
119,560.0,3.0,3.0,7.0,2.0,2.0,,,2000.0,-0.40546513,0.049557686,-1.3862944,4000.0,,,,,,,,0.0,,0,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,8000.0,1600.0,0.5,0.5,1.0,30.0,3.4011974,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
120,560.0,4.0,4.0,7.0,2.0,2.0,,,1500.0,-0.28768206,-0.25321627,-1.6739764,3000.0,,,,,,,,0.0,,0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,8000.0,1600.0,0.5,0.5,1.0,30.0,3.4011974,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
